date,geo,Asphalt/concrete work,Driveway sealing,Gutter cleaning,Junk removal,Pressure washing,Soft washing,Tree service,Window cleaning
2021-01-24,LA,0.0,0.0,0.0,0.0,29.0,0.0,26.0,0.0
2021-01-24,MA,0.0,0.0,18.0,37.0,0.0,0.0,30.0,22.0
2021-01-24,MD,0.0,0.0,8.0,28.0,10.0,0.0,33.0,0.0
2021-01-24,ME,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0
2021-01-24,MI,0.0,0.0,0.0,29.0,0.0,0.0,27.0,26.0
2021-01-24,MN,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0
2021-01-24,MO,0.0,0.0,0.0,31.0,0.0,0.0,38.0,0.0
2021-01-24,MS,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0
2021-01-24,MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-24,NC,0.0,0.0,29.0,30.0,32.0,0.0,58.0,24.0
2021-01-24,ND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-24,NE,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
2021-01-24,NH,0.0,0.0,0.0,42.0,0.0,0.0,35.0,0.0
2021-01-24,NJ,0.0,0.0,0.0,38.0,0.0,0.0,43.0,0.0
2021-01-24,NM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-24,NV,0.0,0.0,0.0,28.0,0.0,0.0,0.0,37.0
2021-01-24,NY,0.0,0.0,39.0,26.0,19.0,0.0,26.0,19.0
2021-01-24,OH,0.0,0.0,0.0,26.0,11.0,0.0,30.0,18.0
2021-01-24,OK,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
2021-01-24,OR,0.0,0.0,0.0,24.0,0.0,0.0,32.0,0.0
2021-01-24,PA,0.0,0.0,13.0,24.0,15.0,0.0,37.0,21.0
2021-01-24,RI,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0
2021-01-24,SC,0.0,0.0,0.0,0.0,37.0,0.0,27.0,0.0
2021-01-24,SD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-24,TN,0.0,0.0,0.0,24.0,30.0,87.0,47.0,30.0
2021-01-24,TX,0.0,0.0,33.0,35.0,26.0,0.0,43.0,46.0
2021-01-24,UT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
2021-01-24,VA,0.0,0.0,17.0,15.0,20.0,0.0,44.0,19.0
2021-01-24,VT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-24,WA,0.0,0.0,18.0,49.0,0.0,0.0,47.0,32.0
2021-01-24,WI,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0
2021-01-24,WV,84.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0
2021-01-24,WY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-31,AK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-31,AL,0.0,0.0,0.0,0.0,24.0,0.0,58.0,62.0
2021-01-31,AR,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0
2021-01-31,AZ,0.0,0.0,0.0,26.0,0.0,0.0,48.0,34.0
2021-01-31,CA,0.0,0.0,36.0,49.0,20.0,0.0,75.0,41.0
2021-01-31,CO,0.0,0.0,0.0,38.0,0.0,0.0,28.0,27.0
2021-01-31,CT,0.0,0.0,37.0,38.0,0.0,0.0,37.0,0.0
2021-01-31,DE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-31,FL,0.0,0.0,19.0,36.0,43.0,0.0,48.0,48.0
2021-01-31,GA,0.0,0.0,22.0,45.0,33.0,0.0,49.0,31.0
2021-01-31,HI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-31,IA,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0
2021-01-31,ID,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0
2021-01-31,IL,0.0,0.0,0.0,37.0,0.0,0.0,31.0,13.0
2021-01-31,IN,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
2021-01-31,KS,0.0,0.0,0.0,65.0,0.0,0.0,52.0,0.0
2021-01-31,KY,0.0,0.0,0.0,0.0,16.0,0.0,21.0,0.0
2021-01-31,LA,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
2021-01-31,MA,0.0,0.0,18.0,29.0,0.0,0.0,23.0,0.0
2021-01-31,MD,0.0,0.0,10.0,15.0,0.0,0.0,36.0,11.0
2021-01-31,ME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-31,MI,0.0,0.0,0.0,25.0,0.0,0.0,27.0,0.0
2021-01-31,MN,0.0,0.0,0.0,32.0,0.0,0.0,18.0,17.0
2021-01-31,MO,0.0,0.0,0.0,36.0,0.0,0.0,34.0,0.0
2021-01-31,MS,0.0,0.0,0.0,0.0,0.0,0.0,35.0,96.0
2021-01-31,MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-31,NC,0.0,0.0,21.0,30.0,34.0,0.0,57.0,28.0
2021-01-31,ND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-31,NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-31,NH,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0
2021-01-31,NJ,0.0,0.0,0.0,33.0,0.0,0.0,34.0,22.0
2021-01-31,NM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-31,NV,0.0,0.0,0.0,37.0,0.0,0.0,45.0,0.0
2021-01-31,NY,0.0,0.0,40.0,26.0,14.0,0.0,22.0,33.0
2021-01-31,OH,0.0,0.0,0.0,33.0,16.0,0.0,30.0,16.0
2021-01-31,OK,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0
2021-01-31,OR,0.0,0.0,0.0,49.0,28.0,0.0,28.0,0.0
2021-01-31,PA,0.0,0.0,0.0,23.0,13.0,0.0,29.0,23.0
2021-01-31,RI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-31,SC,0.0,0.0,0.0,0.0,29.0,0.0,23.0,0.0
2021-01-31,SD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-31,TN,0.0,0.0,0.0,0.0,23.0,0.0,48.0,19.0
2021-01-31,TX,0.0,0.0,12.0,39.0,33.0,0.0,43.0,45.0
2021-01-31,UT,0.0,0.0,0.0,0.0,0.0,0.0,37.0,11.0
2021-01-31,VA,0.0,0.0,18.0,17.0,17.0,0.0,44.0,25.0
2021-01-31,VT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-31,WA,0.0,0.0,31.0,53.0,40.0,0.0,48.0,26.0
2021-01-31,WI,0.0,0.0,0.0,47.0,0.0,0.0,26.0,0.0
2021-01-31,WV,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0
2021-01-31,WY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-07,AK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-07,AL,0.0,0.0,0.0,0.0,31.0,0.0,41.0,0.0
2021-02-07,AR,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0
2021-02-07,AZ,0.0,0.0,0.0,26.0,0.0,0.0,52.0,37.0
2021-02-07,CA,0.0,0.0,36.0,47.0,23.0,0.0,78.0,40.0
2021-02-07,CO,0.0,0.0,0.0,35.0,0.0,0.0,24.0,22.0
2021-02-07,CT,0.0,0.0,44.0,0.0,0.0,0.0,30.0,0.0
2021-02-07,DE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-07,FL,0.0,58.0,24.0,31.0,49.0,0.0,50.0,54.0
2021-02-07,GA,0.0,0.0,30.0,46.0,32.0,0.0,47.0,34.0
2021-02-07,HI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-07,IA,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0
2021-02-07,ID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-07,IL,0.0,0.0,22.0,38.0,0.0,0.0,30.0,20.0
2021-02-07,IN,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0
2021-02-07,KS,0.0,0.0,0.0,42.0,0.0,0.0,37.0,0.0
2021-02-07,KY,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0
2021-02-07,LA,0.0,100.0,0.0,0.0,34.0,0.0,24.0,0.0
2021-02-07,MA,0.0,0.0,19.0,29.0,0.0,0.0,28.0,0.0
2021-02-07,MD,0.0,0.0,10.0,24.0,0.0,0.0,34.0,0.0
2021-02-07,ME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-07,MI,0.0,0.0,0.0,30.0,15.0,0.0,22.0,24.0
2021-02-07,MN,0.0,0.0,0.0,27.0,0.0,0.0,12.0,20.0
2021-02-07,MO,0.0,0.0,0.0,35.0,0.0,0.0,25.0,0.0
2021-02-07,MS,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0
