GEO_ID,Geography,Homeownership%,MedianIncome,LargeHH%,OldHouse%
860Z200US03052,ZCTA5 03052,0.803,155881.0,0.292,0.662
860Z200US03053,ZCTA5 03053,0.698,132241.0,0.377,0.654
860Z200US03054,ZCTA5 03054,0.68,128897.0,0.33,0.627
860Z200US03071,ZCTA5 03071,0.859,100417.0,0.336,0.599
860Z200US03076,ZCTA5 03076,0.862,126804.0,0.318,0.659
860Z200US03077,ZCTA5 03077,0.655,92002.0,0.297,0.54
860Z200US03079,ZCTA5 03079,0.662,101339.0,0.4,0.553
860Z200US03082,ZCTA5 03082,0.916,111016.0,0.256,0.597
860Z200US03084,ZCTA5 03084,0.859,86528.0,0.371,0.671
860Z200US03106,ZCTA5 03106,0.6,107137.0,0.292,0.591
860Z200US03109,ZCTA5 03109,0.685,108060.0,0.436,0.523
860Z200US03110,ZCTA5 03110,0.803,160253.0,0.309,0.773
860Z200US03216,ZCTA5 03216,0.925,86875.0,0.37,0.535
860Z200US03218,ZCTA5 03218,0.799,97669.0,0.306,0.54
860Z200US03221,ZCTA5 03221,0.941,92083.0,0.405,0.554
860Z200US03223,ZCTA5 03223,0.786,109801.0,0.417,0.5
860Z200US03224,ZCTA5 03224,0.909,117500.0,0.354,0.66
860Z200US03225,ZCTA5 03225,0.965,97109.0,0.252,0.597
860Z200US03229,ZCTA5 03229,0.851,130216.0,0.303,0.629
860Z200US03234,ZCTA5 03234,0.692,92623.0,0.346,0.528
860Z200US03241,ZCTA5 03241,0.921,91528.0,0.341,0.504
860Z200US03243,ZCTA5 03243,0.86,79750.0,0.442,0.504
860Z200US03244,ZCTA5 03244,0.766,93886.0,0.334,0.549
860Z200US03249,ZCTA5 03249,0.789,115423.0,0.334,0.563
860Z200US03254,ZCTA5 03254,0.935,93839.0,0.466,0.611
860Z200US03255,ZCTA5 03255,0.941,123167.0,0.272,0.643
860Z200US03257,ZCTA5 03257,0.773,89750.0,0.393,0.668
860Z200US03259,ZCTA5 03259,0.966,82024.0,0.964,0.695
860Z200US03268,ZCTA5 03268,0.861,105000.0,0.407,0.562
860Z200US03269,ZCTA5 03269,0.9,94821.0,0.311,0.51
860Z200US03278,ZCTA5 03278,0.745,98333.0,0.405,0.508
860Z200US03281,ZCTA5 03281,0.851,115833.0,0.316,0.656
860Z200US03282,ZCTA5 03282,0.852,105000.0,0.351,0.521
860Z200US03284,ZCTA5 03284,0.893,111563.0,0.378,0.521
860Z200US03285,ZCTA5 03285,0.689,81094.0,0.43,0.565
860Z200US03287,ZCTA5 03287,0.864,115469.0,0.406,0.572
860Z200US03440,ZCTA5 03440,0.801,91094.0,0.402,0.592
860Z200US03444,ZCTA5 03444,0.922,100938.0,0.29,0.626
860Z200US03445,ZCTA5 03445,0.869,95625.0,0.323,0.615
860Z200US03447,ZCTA5 03447,0.808,91076.0,0.387,0.626
860Z200US03449,ZCTA5 03449,0.881,88958.0,0.347,0.676
860Z200US03450,ZCTA5 03450,0.966,98611.0,0.32,0.601
860Z200US03452,ZCTA5 03452,0.853,87527.0,0.385,0.525
860Z200US03457,ZCTA5 03457,0.899,90417.0,0.394,0.647
860Z200US03461,ZCTA5 03461,0.882,102662.0,0.288,0.592
860Z200US03462,ZCTA5 03462,0.863,106417.0,0.421,0.663
860Z200US03465,ZCTA5 03465,0.701,79375.0,0.418,0.62
860Z200US03466,ZCTA5 03466,1.0,116314.0,0.419,0.638
860Z200US03467,ZCTA5 03467,0.958,98684.0,0.292,0.594
860Z200US03574,ZCTA5 03574,0.799,83870.0,0.39,0.554
860Z200US03580,ZCTA5 03580,0.846,77283.0,0.559,0.56
860Z200US03584,ZCTA5 03584,0.701,92797.0,0.494,0.511
860Z200US03586,ZCTA5 03586,0.934,137500.0,0.429,0.745
860Z200US03593,ZCTA5 03593,0.941,95000.0,0.455,0.658
860Z200US03595,ZCTA5 03595,0.882,78750.0,0.413,0.506
860Z200US03601,ZCTA5 03601,0.899,80577.0,0.483,0.563
860Z200US03607,ZCTA5 03607,0.971,80694.0,0.271,0.549
860Z200US03608,ZCTA5 03608,0.76,77244.0,0.451,0.573
860Z200US03741,ZCTA5 03741,0.698,78523.0,0.407,0.521
860Z200US03745,ZCTA5 03745,0.891,89046.0,0.529,0.639
860Z200US03768,ZCTA5 03768,0.846,141719.0,0.347,0.705
860Z200US03771,ZCTA5 03771,0.863,85217.0,0.338,0.69
860Z200US03773,ZCTA5 03773,0.732,78073.0,0.481,0.573
860Z200US03777,ZCTA5 03777,0.79,85938.0,0.63,0.52
860Z200US03779,ZCTA5 03779,0.853,93393.0,0.415,0.616
860Z200US03780,ZCTA5 03780,0.92,145163.0,0.434,0.931
860Z200US03781,ZCTA5 03781,0.839,104700.0,0.31,0.592
860Z200US03782,ZCTA5 03782,0.858,109185.0,0.314,0.578
860Z200US03809,ZCTA5 03809,0.821,92278.0,0.279,0.513
860Z200US03810,ZCTA5 03810,0.951,143102.0,0.378,0.509
860Z200US03811,ZCTA5 03811,0.692,144481.0,0.294,0.697
860Z200US03816,ZCTA5 03816,0.909,85750.0,0.535,0.715
860Z200US03819,ZCTA5 03819,0.834,109726.0,0.282,0.675
860Z200US03823,ZCTA5 03823,0.74,144635.0,0.3,0.726
860Z200US03825,ZCTA5 03825,0.75,99706.0,0.359,0.561
860Z200US03827,ZCTA5 03827,0.9,135341.0,0.284,0.669
860Z200US03832,ZCTA5 03832,0.956,75833.0,0.495,0.568
